Day,Campaign,Cost,Impressions,Clicks,Conversions,Total conv. value
17/12/24,Campaign_001_ZERO_HOPE,64.61,124,12,0,0
17/12/24,Campaign_002_DECAYER,120.98,710,60,6,245.62
17/12/24,Campaign_003_ZERO_HOPE,92.21,295,18,0,0
17/12/24,Campaign_004_ZOMBIE,172.84,1093,57,2,85.38
17/12/24,Campaign_005_ZOMBIE,105.06,575,35,1,48.3
17/12/24,Campaign_006_STAR,98.49,1880,98,19,423.3
17/12/24,Campaign_007_AVERAGE,47.18,397,23,2,73.4
17/12/24,Campaign_008_AVERAGE,45.69,252,22,2,64.44
17/12/24,Campaign_009_AVERAGE,39.37,269,19,1,61.96
17/12/24,Campaign_010_ZOMBIE,113.95,443,37,1,52.94
17/12/24,Campaign_011_ZERO_HOPE,78.86,246,15,0,0
17/12/24,Campaign_012_ZERO_HOPE,92.79,268,18,0,0
17/12/24,Campaign_013_ZOMBIE,124.78,737,41,2,65.27
17/12/24,Campaign_014_AVERAGE,55.23,291,27,2,79.67
17/12/24,Campaign_015_DECAYER,90.86,647,45,4,196.29
17/12/24,Campaign_016_ZERO_HOPE,69.28,185,13,0,0
17/12/24,Campaign_017_ZOMBIE,163.19,663,54,2,76.28
17/12/24,Campaign_018_AVERAGE,43.79,383,21,2,59.48
17/12/24,Campaign_019_ZERO_HOPE,67.12,157,13,0,0
17/12/24,Campaign_020_ZERO_HOPE,66.76,222,13,0,0
17/12/24,Campaign_021_ZOMBIE,181.49,1182,60,3,97.43
17/12/24,Campaign_022_ZOMBIE,162,1002,54,2,89.08
17/12/24,Campaign_023_ZERO_HOPE,59.17,122,11,0,0
17/12/24,Campaign_024_ZOMBIE,127.77,647,42,2,68.94
17/12/24,Campaign_025_AVERAGE,52.16,443,26,2,84.5
17/12/24,Campaign_026_DECAYER,116.92,708,58,5,237.42
17/12/24,Campaign_027_ZOMBIE,180.86,632,60,3,91.43
17/12/24,Campaign_028_ZOMBIE,177.63,590,59,2,95.76
17/12/24,Campaign_029_ZERO_HOPE,98.98,250,19,0,0
17/12/24,Campaign_030_AVERAGE,55.9,320,27,2,81.3
17/12/24,Campaign_031_AVERAGE,50.31,283,25,2,73.57
17/12/24,Campaign_032_ZOMBIE,154.22,810,51,2,76.48
17/12/24,Campaign_033_ZERO_HOPE,88.64,194,17,0,0
17/12/24,Campaign_034_ZOMBIE,182.27,1147,60,3,97.15
17/12/24,Campaign_035_ZERO_HOPE,62.51,175,12,0,0
17/12/24,Campaign_036_ZOMBIE,171.19,1026,57,2,90.93
17/12/24,Campaign_037_ZERO_HOPE,69.4,226,13,0,0
17/12/24,Campaign_038_AVERAGE,57.91,284,28,2,78.35
17/12/24,Campaign_039_STAR,71.74,1387,71,14,307.13
17/12/24,Campaign_040_AVERAGE,45.36,253,22,2,70.53
17/12/24,Campaign_041_DECAYER,109.97,801,54,5,207.9
17/12/24,Campaign_042_ZOMBIE,193.57,1264,64,3,88.63
17/12/24,Campaign_043_AVERAGE,38.17,210,19,1,53.21
17/12/24,Campaign_044_STAR,87.79,1467,87,17,342.07
17/12/24,Campaign_045_ZERO_HOPE,78.06,189,15,0,0
17/12/24,Campaign_046_AVERAGE,42.62,416,21,2,58.43
17/12/24,Campaign_047_DECAYER,85.74,752,42,4,159.93
17/12/24,Campaign_048_ZOMBIE,143.58,566,47,2,78
17/12/24,Campaign_049_DECAYER,116.56,1074,58,5,220.67
17/12/24,Campaign_050_ZERO_HOPE,95.11,256,19,0,0
18/12/24,Campaign_001_ZERO_HOPE,78.53,255,15,0,0
18/12/24,Campaign_002_DECAYER,79.68,513,39,3,153.21
18/12/24,Campaign_003_ZERO_HOPE,69.58,220,13,0,0
18/12/24,Campaign_004_ZOMBIE,120.26,689,40,2,64.94
18/12/24,Campaign_005_ZOMBIE,166.12,912,55,2,90.11
18/12/24,Campaign_006_STAR,101.27,1404,101,20,392.94
18/12/24,Campaign_007_AVERAGE,48.32,279,24,2,77.81
18/12/24,Campaign_008_AVERAGE,44.39,288,22,2,73.07
18/12/24,Campaign_009_AVERAGE,42.46,332,21,2,59.82
18/12/24,Campaign_010_ZOMBIE,139.19,853,46,2,63.02
18/12/24,Campaign_011_ZERO_HOPE,77.3,223,15,0,0
18/12/24,Campaign_012_ZERO_HOPE,101.92,289,20,0,0
18/12/24,Campaign_013_ZOMBIE,148.54,699,49,2,76.05
18/12/24,Campaign_014_AVERAGE,49.37,256,24,2,68.55
18/12/24,Campaign_015_DECAYER,71.24,478,35,3,141.74
18/12/24,Campaign_016_ZERO_HOPE,74.74,214,14,0,0
18/12/24,Campaign_017_ZOMBIE,136.77,820,45,2,63.42
18/12/24,Campaign_018_AVERAGE,62.7,587,31,3,93.28
18/12/24,Campaign_019_ZERO_HOPE,93.85,322,18,0,0
18/12/24,Campaign_020_ZERO_HOPE,62.78,215,12,0,0
18/12/24,Campaign_021_ZOMBIE,192.93,1075,64,3,90.02
18/12/24,Campaign_022_ZOMBIE,129.22,533,43,2,66.2
18/12/24,Campaign_023_ZERO_HOPE,86.12,339,17,0,0
18/12/24,Campaign_024_ZOMBIE,110.67,651,36,1,49.89
18/12/24,Campaign_025_AVERAGE,55.91,478,27,2,83.74
18/12/24,Campaign_026_DECAYER,96.75,749,48,4,197.15
18/12/24,Campaign_027_ZOMBIE,162.38,605,54,2,74.63
18/12/24,Campaign_028_ZOMBIE,176.54,772,58,2,96.49
18/12/24,Campaign_029_ZERO_HOPE,61.1,230,12,0,0
