Day,Campaign,Cost,Impressions,Clicks,Conversions,Total conv. value
18/10/25,Brand_Exact,43.66,717,29,4,400
18/10/25,Generic_Broad,233.38,1851,93,1,40
18/10/25,Competitor_Test,88.87,280,17,0,0
18/10/25,Retargeting_Q4,111.57,1768,111,5,400
19/10/25,Brand_Exact,45.94,461,30,4,400
19/10/25,Generic_Broad,167.21,1031,66,1,40
19/10/25,Competitor_Test,76.5,251,15,0,0
19/10/25,Retargeting_Q4,107.98,2040,106,5,400
20/10/25,Brand_Exact,41.53,605,27,4,400
20/10/25,Generic_Broad,236.62,1437,94,1,40
20/10/25,Competitor_Test,66.38,267,13,0,0
20/10/25,Retargeting_Q4,80.7,1400,78,3,240
21/10/25,Brand_Exact,54.86,852,36,5,500
21/10/25,Generic_Broad,197.79,1852,79,1,40
21/10/25,Competitor_Test,60.42,204,12,0,0
21/10/25,Retargeting_Q4,117.07,1907,112,5,400
22/10/25,Brand_Exact,45.22,627,30,4,400
22/10/25,Generic_Broad,239.03,1692,95,1,40
22/10/25,Competitor_Test,64.87,291,12,0,0
22/10/25,Retargeting_Q4,115.16,1676,108,5,400
23/10/25,Brand_Exact,49.22,741,32,4,400
23/10/25,Generic_Broad,238.81,2093,95,1,40
23/10/25,Competitor_Test,71.43,260,14,0,0
23/10/25,Retargeting_Q4,88.76,1993,82,3,240
24/10/25,Brand_Exact,46.61,721,31,4,400
24/10/25,Generic_Broad,181.57,1257,72,1,40
24/10/25,Competitor_Test,81.45,274,16,0,0
24/10/25,Retargeting_Q4,103.11,2308,94,4,320
25/10/25,Brand_Exact,58.87,649,39,5,500
25/10/25,Generic_Broad,213.67,1563,85,1,40
25/10/25,Competitor_Test,63.92,231,12,0,0
25/10/25,Retargeting_Q4,93.11,2070,83,3,240
26/10/25,Brand_Exact,45.97,489,30,4,400
26/10/25,Generic_Broad,187.25,1796,74,1,40
26/10/25,Competitor_Test,76.89,321,15,0,0
26/10/25,Retargeting_Q4,113.66,2256,100,4,320
27/10/25,Brand_Exact,48.96,576,32,4,400
27/10/25,Generic_Broad,203.45,1883,81,1,40
27/10/25,Competitor_Test,79.72,299,15,0,0
27/10/25,Retargeting_Q4,90.31,1677,78,3,240
28/10/25,Brand_Exact,42.45,633,28,4,400
28/10/25,Generic_Broad,201.96,1879,80,1,40
28/10/25,Competitor_Test,64.93,294,12,0,0
28/10/25,Retargeting_Q4,114.53,2370,98,4,320
29/10/25,Brand_Exact,46.8,552,31,4,400
29/10/25,Generic_Broad,196.87,1470,78,1,40
29/10/25,Competitor_Test,79.61,290,15,0,0
29/10/25,Retargeting_Q4,104.37,1313,87,3,240
30/10/25,Brand_Exact,49.83,565,33,4,400
30/10/25,Generic_Broad,183.97,1774,73,1,40
30/10/25,Competitor_Test,62.52,234,12,0,0
30/10/25,Retargeting_Q4,84.34,1638,69,2,160
31/10/25,Brand_Exact,58.46,799,38,5,500
31/10/25,Generic_Broad,196.62,1710,78,1,40
31/10/25,Competitor_Test,70.95,285,14,0,0
31/10/25,Retargeting_Q4,100.23,1798,81,3,240
01/11/25,Brand_Exact,45.87,721,30,4,400
01/11/25,Generic_Broad,166.19,1018,66,1,40
01/11/25,Competitor_Test,65.41,321,13,0,0
